Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX80646I34170,Intel,Core i3-4170,702,56.9,48178,https://cpu.userbenchmark.com/SpeedTest/28214/IntelR-CoreTM-i3-4170-CPU---370GHz
CPU,,Intel,Core2 Extreme X9770,703,56.8,522,https://cpu.userbenchmark.com/SpeedTest/10543/IntelR-CoreTM2-Extreme-CPU-X9770----320GHz
CPU,,Intel,Core i7 X 920,704,56.6,998,https://cpu.userbenchmark.com/SpeedTest/4179/IntelR-CoreTM-i7-CPU-------X-920----200GHz
CPU,BX80646G3430,Intel,Pentium G3430,705,56.5,263,https://cpu.userbenchmark.com/Intel-Pentium-G3430/Rating/1969
CPU,,Intel,Core i5-7300HQ,706,56.5,170871,https://cpu.userbenchmark.com/SpeedTest/223877/IntelR-CoreTM-i5-7300HQ-CPU---250GHz
CPU,,Intel,Core i3-6167U,707,56.5,25,https://cpu.userbenchmark.com/SpeedTest/175469/IntelR-CoreTM-i3-6167U-CPU---270GHz
CPU,,Intel,Core i7-10510U,708,56.4,51080,https://cpu.userbenchmark.com/SpeedTest/891469/IntelR-CoreTM-i7-10510U-CPU---180GHz
CPU,,AMD,FX-8120,709,56.4,25690,https://cpu.userbenchmark.com/SpeedTest/173/AMD-FXtm-8120-Eight-Core-Processor
CPU,,AMD,Phenom II X4 970,710,56.3,2539,https://cpu.userbenchmark.com/SpeedTest/2231/AMD-Phenomtm-II-X4-970-Processor
CPU,,Intel,Core i7-2670QM,711,56.3,51169,https://cpu.userbenchmark.com/Intel-Core-i7-2670QM/Rating/1982
CPU,,Intel,Xeon E5-2609 0,712,56.3,759,https://cpu.userbenchmark.com/SpeedTest/2762/IntelR-XeonR-CPU-E5-2609-0---240GHz
CPU,BX80662G4500,Intel,Pentium G4500,713,56.3,3191,https://cpu.userbenchmark.com/Intel-Pentium-G4500/Rating/3538
CPU,,Intel,Core i5-4258U,714,56.3,1278,https://cpu.userbenchmark.com/SpeedTest/5904/IntelR-CoreTM-i5-4258U-CPU---240GHz
CPU,BX80677G3950,Intel,Celeron G3950,715,56.2,228,https://cpu.userbenchmark.com/SpeedTest/242877/IntelR-CeleronR-CPU-G3950---300GHz
CPU,,Intel,Core i3-4130T,716,56.2,5264,https://cpu.userbenchmark.com/SpeedTest/13080/IntelR-CoreTM-i3-4130T-CPU---290GHz
CPU,,Intel,Core i7-5650U,717,56.1,248,https://cpu.userbenchmark.com/SpeedTest/26818/IntelR-CoreTM-i7-5650U-CPU---220GHz
CPU,,Intel,Core i7 Q 840,718,56.1,1339,https://cpu.userbenchmark.com/SpeedTest/2642/IntelR-CoreTM-i7-CPU-------Q-840----187GHz
CPU,,Intel,Pentium G3450,719,56,1246,https://cpu.userbenchmark.com/SpeedTest/24201/IntelR-PentiumR-CPU-G3450---340GHz
CPU,,Intel,Core i7-4600M,720,56,7260,https://cpu.userbenchmark.com/SpeedTest/4429/IntelR-CoreTM-i7-4600M-CPU---290GHz
CPU,,Intel,Core i7-3540M,721,56,6652,https://cpu.userbenchmark.com/SpeedTest/921/IntelR-CoreTM-i7-3540M-CPU---300GHz
CPU,,Intel,Core i5-6260U,722,55.9,1781,https://cpu.userbenchmark.com/SpeedTest/37385/IntelR-CoreTM-i5-6260U-CPU---180GHz
CPU,BX80701G5920,Intel,Celeron G5920,723,55.9,68,https://cpu.userbenchmark.com/SpeedTest/1197531/IntelR-CeleronR-G5920-CPU---350GHz
CPU,,AMD,Phenom II X6 1075T,724,55.9,4420,https://cpu.userbenchmark.com/SpeedTest/913/AMD-Phenomtm-II-X6-1075T-Processor
CPU,,AMD,Phenom II X4 B60,725,55.8,1386,https://cpu.userbenchmark.com/SpeedTest/8154/AMD-Phenomtm-II-X4-B60-Processor
CPU,,Intel,Core i5-3470T,726,55.8,3684,https://cpu.userbenchmark.com/SpeedTest/2220/IntelR-CoreTM-i5-3470T-CPU---290GHz
CPU,,AMD,FX-4170 Quad-Core,727,55.6,4257,https://cpu.userbenchmark.com/SpeedTest/114/AMD-FXtm-4170-Quad-Core-Processor
CPU,BX80701G5900,Intel,Celeron G5900,728,55.5,415,https://cpu.userbenchmark.com/SpeedTest/1187562/IntelR-CeleronR-G5900-CPU---340GHz
CPU,,Intel,Core i5-1035G4,729,55.5,13243,https://cpu.userbenchmark.com/SpeedTest/921077/IntelR-CoreTM-i5-1035G4-CPU---110GHz
CPU,,AMD,FX-6120 Six-Core,730,55.4,1739,https://cpu.userbenchmark.com/SpeedTest/7026/AMD-FXtm-6120-Six-Core-Processor
CPU,,Intel,Core i5-3380M,731,55.4,2989,https://cpu.userbenchmark.com/SpeedTest/5308/IntelR-CoreTM-i5-3380M-CPU---290GHz
CPU,BX80662I36100,Intel,Core i3-6100,732,55.4,110166,https://cpu.userbenchmark.com/Intel-Core-i3-6100/Rating/3511
CPU,BX80646I34150,Intel,Core i3-4150,733,55.2,36627,https://cpu.userbenchmark.com/Intel-Core-i3-4150/Rating/2309
CPU,FF8062700837005,Intel,Core i7-2630QM,734,55.2,39605,https://cpu.userbenchmark.com/Intel-Core-i7-2630QM/Rating/2729
CPU,FD6300WMHKBOX,AMD,FX-6300,735,55.2,261607,https://cpu.userbenchmark.com/AMD-FX-6300/Rating/1555
CPU,,Intel,Core i3-3240,736,55.1,37789,https://cpu.userbenchmark.com/SpeedTest/2133/IntelR-CoreTM-i3-3240-CPU---340GHz
CPU,BX80646I34160,Intel,Core i3-4160,737,55.1,48506,https://cpu.userbenchmark.com/Intel-Core-i3-4160/Rating/2816
CPU,,AMD,Ryzen 3 2300U,738,55,3165,https://cpu.userbenchmark.com/SpeedTest/511816/AMD-Ryzen-3-2300U-with-Radeon-Vega-Mobile-Gfx
CPU,,Intel,Core i7-7560U,739,54.9,1528,https://cpu.userbenchmark.com/SpeedTest/262014/IntelR-CoreTM-i7-7560U-CPU---240GHz
CPU,,Intel,Core i3-7130U,740,54.9,4991,https://cpu.userbenchmark.com/SpeedTest/376899/IntelR-CoreTM-i3-7130U-CPU---270GHz
CPU,FJ8068404064405,Intel,Core i7-8565U,741,54.7,81207,https://cpu.userbenchmark.com/SpeedTest/591977/IntelR-CoreTM-i7-8565U-CPU---180GHz
CPU,,Intel,Core i5-5257U,742,54.6,3465,https://cpu.userbenchmark.com/SpeedTest/25441/IntelR-CoreTM-i5-5257U-CPU---270GHz
CPU,,Intel,Core i3-3220T,743,54.6,2218,https://cpu.userbenchmark.com/SpeedTest/2602/IntelR-CoreTM-i3-3220T-CPU---280GHz
CPU,,AMD,Ryzen 3 3300U,744,54.5,2913,https://cpu.userbenchmark.com/SpeedTest/827713/AMD-Ryzen-3-3300U-with-Radeon-Vega-Mobile-Gfx
CPU,,Intel,Xeon X5470,745,54.5,1638,https://cpu.userbenchmark.com/SpeedTest/14102/IntelR-XeonR-CPU-----------X5470----333GHz
CPU,,Intel,Core i3-6157U,746,54.4,479,https://cpu.userbenchmark.com/SpeedTest/187565/IntelR-CoreTM-i3-6157U-CPU---240GHz
CPU,,Intel,Xeon E5506,747,54.2,722,https://cpu.userbenchmark.com/SpeedTest/11152/IntelR-XeonR-CPU-----------E5506----213GHz
CPU,,Intel,Core i7-7660U,748,54.2,4146,https://cpu.userbenchmark.com/SpeedTest/274151/IntelR-CoreTM-i7-7660U-CPU---250GHz
CPU,,AMD,Ryzen 7 3750H,749,54.1,42271,https://cpu.userbenchmark.com/SpeedTest/786211/AMD-Ryzen-7-3750H-with-Radeon-Vega-Mobile-Gfx
CPU,HDT55TFBGRBOX,AMD,Phenom II X6 1055T,750,54,23835,https://cpu.userbenchmark.com/AMD-Phenom-II-X6-1055T/Rating/2003
CPU,,AMD,Phenom II X4 B55,751,54,3005,https://cpu.userbenchmark.com/SpeedTest/878/AMD-Phenomtm-II-X4-B55-Processor
